movie_name,movie_year,movie_rating,user_votes
The Shawshank Redemption,1994,9.3,2.9M
The Godfather,1972,9.2,2M
The Dark Knight,2008,9.0,2.9M
The Godfather Part II,1974,9.0,1.4M
12 Angry Men,1957,9.0,869K
Schindler's List,1993,9.0,1.5M
The Lord of the Rings: The Return of the King,2003,9.0,2M
Pulp Fiction,1994,8.9,2.2M
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2M
"The Good, the Bad and the Ugly",1966,8.8,814K
Forrest Gump,1994,8.8,2.3M
The Lord of the Rings: The Two Towers,2002,8.8,1.8M
Fight Club,1999,8.8,2.3M
Inception,2010,8.8,2.6M
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.4M
The Matrix,1999,8.7,2.1M
Goodfellas,1990,8.7,1.3M
One Flew Over the Cuckoo's Nest,1975,8.7,1.1M
Se7en,1995,8.6,1.8M
Interstellar,2014,8.7,2.1M
It's a Wonderful Life,1946,8.6,501K
Seven Samurai,1954,8.6,368K
The Silence of the Lambs,1991,8.6,1.6M
Saving Private Ryan,1998,8.6,1.5M
City of God,2002,8.6,804K
